"company_id","company","company_revenue","company_employees","company_industry","no_of_stars","no_of_reviews"
"c_1","","","","",4,14988
"c_3","14 West","","","",3.5,2
"c_4","1st Solution USA","","","",NA,NA
"c_5","23andMe","","Less than 10,000","Health Care",4,4
"c_6","2DA Analytics","","","",NA,NA
"c_7","2K Games","","","",3.70000004768372,22
"c_8","2U","","","",NA,NA
"c_10","3M","More than $10B (USD)","10,000+","Industrial Manufacturing",4.099999905,2837
"c_11","3Q Digital","","","",4.19999980926514,10
"c_9","3coast","","","Human Resources and Staffing",4.5,2
"c_12","7-Eleven","More than $10B (USD)","","Retail",NA,NA
"c_13","7Park Data","","","",NA,NA
"c_14","8-Koi","","","",NA,NA
"c_15","8X8 INC.","","","",3.599999905,51
"c_16","A Could Guru","","","",NA,NA
"c_18","A+E Networks","","Less than 10,000","Media, News and Publishing",3.900000095,103
"c_17","A. H. Belo Corporation","","","",3.29999995231628,3
"c_26","ABSc","","Less than 10,000","Consulting and Business Services",3.40000009536743,27
"c_32","ACCION","","","",4.300000191,25
"c_39","ACI Worldwide","Less than $1B (USD)","Less than 10,000","Internet and Software",3.5,165
"c_41","ACN","","","",3.70000004768372,265
"c_43","ACS","","","",3.40000009536743,4497
"c_44","ACT, Inc.","","","",3.900000095,54
"c_51","ADT Corporation","$1B to $5B (USD)","10,000+","",3.40000009536743,3947
"c_52","ADT Security Services","$1B to $5B (USD)","10,000+","",3.40000009536743,3947
"c_61","AECOM","More than $10B (USD)","10,000+","",3.70000004768372,3457
"c_65","AF Group","","","",3.79999995231628,10
"c_67","AG Grace Inc","","","",NA,NA
"c_70","AHMC Healthcare Inc","","","",NA,NA
"c_71","AIDS Foundation of Chicago","","","",4.59999990463257,9
"c_72","AIG","More than $10B (USD)","10,000+","Insurance",3.79999995231628,2807
"c_76","AKRAYA INC.","","","Human Resources and Staffing",3.599999905,9
"c_81","ALC","","","",3.29999995231628,18
"c_133","ANB Bank","","","Banks and Financial Services",3.5,41
"c_142","ANTHEM MARKETING","","","",NA,NA
"c_159","AQR","","","",NA,NA
"c_164","ARC Solutions USA","","Less than 10,000","Internet and Software",3.09999990463257,12
"c_189","ASET Partners","","","",NA,NA
"c_191","ASML","$5B to $10B (USD)","10,000+","Computers and Electronics",4,189
"c_200","AT&T","More than $10B (USD)","10,000+","Telecommunications",3.79999995231628,31970
"c_205","ATN International","Less than $1B (USD)","Less than 10,000","Telecommunications",3.299999952,30
"c_213","AUSL Chicago","","","",NA,NA
"c_215","AUTHENTIX INC","","","",NA,NA
"c_223","AVID CENTER STAFF","","","",NA,NA
"c_226","AXA","","","",3.900000095,1341
"c_227","AXA General Insurance","","","",3.900000095,1341
"c_231","AXIS Insurance","","Less than 10,000","Insurance",4.09999990463257,22
"c_19","Aaptiv","","","",NA,NA
"c_20","Abacus Data Systems","Less than $1B (USD)","Less than 10,000","Internet and Software",2.90000009536743,17
"c_22","AbbVie","More than $10B (USD)","10,000+","Pharmaceuticals",4,650
"c_21","Abbott Laboratories","More than $10B (USD)","10,000+","Health Care",4.099999905,3285
"c_23","Abilene Christian University","","","Education and Schools",4.30000019073486,55
"c_24","Abiomed","Less than $1B (USD)","Less than 10,000","",3.90000009536743,33
"c_25","AbleVets LLC","","","",3.70000004768372,7
"c_27","Academia.edu","","","",NA,NA
"c_28","Academy for Urban School Leadership","","Less than 10,000","Education and Schools",3.29999995231628,9
"c_29","Accenture","More than $10B (USD)","10,000+","Consulting and Business Services",4,14988
"c_30","AccessCNY, INC","","","",NA,NA
"c_31","Accident Fund Holdings, Inc.","","","",4.5,2
