"fcc_unique_id","job_title","queried_salary","job_type","skill","company_id"
"1_281a27deb89bbe92","Data Scientist","<80000","data_scientist","['SAP', 'SQL']","c_761"
"2_b584cf601069b5d0","Data Scientist","<80000","data_scientist","['Machine Learning', 'R', 'SAS', 'SQL', 'Python']","c_1336"
"3_b39fb6f124ce8586","Data Scientist","<80000","data_scientist","['Data Mining', 'Data Management', 'R', 'SAS', 'SQL', 'STATA', 'SPSS', 'Data Analysis', 'Python']","c_523"
"4_e9870e3159e9c6ac","Graduate Studies Program - Data Scientist","<80000","data_scientist","['Certified Internal Auditor']","c_418"
"5_2c6850e24c8a2811","Data Scientist I","<80000","data_scientist","['Statistical Software', 'Time Management', 'R', 'Microsoft Office', 'Excel', 'Tableau', 'Data Science']","c_782"
"6_e8f18ca6180ec8da","Data Scientist - Entry to Experienced Level","<80000","data_scientist","['AI', 'Quantitative Analysis', 'Data Mining', 'Machine Learning', 'Analysis Skills', 'CSS']","c_1374"
"7_4500f579ddd13a3b","Geospatial Data Scientist","<80000","data_scientist","['Statistical Software', 'Machine Learning', 'R', 'Image Processing', 'SQL', 'Cloud Computing', 'ArcGIS', 'GIS', 'Python', 'AWS']","c_1448"
"8_291c4b8251ea1163","Data Scientist","<80000","data_scientist","['Machine Learning', 'R', 'SQL']","c_1463"
"9_95ffa1338c01d3de","Bioinformatics Data Scientist","<80000","data_scientist","['Linux', 'R', 'C/C++', 'Python']","c_2050"
"10_ca509b164585637a","Data Scientist","<80000","data_scientist","['JavaScript', 'Data Mining', 'TS/SCI Clearance', 'R', 'C/C++', 'Python']","c_2071"
"11_1f92178814b05d89","Data Scientist","<80000","data_scientist","['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']","c_1950"
"12_a3d79a6d43cd3473","Data Scientist","<80000","data_scientist","['Machine Learning', 'Analysis Skills', 'Data Science']","c_1684"
"13_918f9b74accbe201","Jr. Data Scientist - Machine Learning","<80000","data_scientist","['Machine Learning', 'Python']","c_700"
"14_7cb8926c790321ab","Data Scientist","<80000","data_scientist","['TensorFlow', 'Project Planning', 'Linux', 'Machine Learning', 'C/C++', 'Python', 'Jira']","c_403"
"15_dc35d3f5eff3380a","Enrollment Data Scientist & Econometrician","<80000","data_scientist","['Machine Learning', 'R', 'Statisical Analysis', 'SPSS', 'Statistical Software', 'Data Mining', 'Scala', 'Tableau', 'Java', '""Drivers License""', 'Python']","c_817"
"16_1c0efdb7854b6585","Junior Data Scientist","<80000","data_scientist","['Machine Learning', 'R', 'SQL', 'Analysis Skills', 'Python', 'Data Science']","c_38"
"17_9e215d88a6b33622","Data Scientist","<80000","data_scientist","['Microsoft SQL Server', 'Data Mining', 'Machine Learning', 'Visual Basic', 'R', 'SAS', 'SQL', 'Excel', 'Tableau', 'Microsoft Access', 'SPSS', 'Python']","c_617"
"18_1ddb91d85c72e885","Data Analytics and Machine Learning Specialist","<80000","data_scientist","['Machine Learning']","c_763"
"19_71cf745ec1b3aae4","Postdoctoral Associate/Data Scientist, Laboratory for Multis...","<80000","data_scientist","['LMRT', 'Machine Learning']","c_1319"
"20_ef34ff29d760a6f2","innovationOchsner (iO) - Data Scientist - Benson Tower","<80000","data_scientist","['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']","c_1455"
"21_aa53b551f9df0210","Statistician/Data Scientist","<80000","data_scientist","['IIS', 'TS/SCI Clearance']","c_1649"
"22_aa53b551f9df0210","Statistician / Data Scientist","<80000","data_scientist","['IIS', 'TS/SCI Clearance']","c_1649"
"23_4146d8487cdbf799","Environmental Data Scientist, Bureau of Environmental Survei...","<80000","data_scientist","['Statistical Software', 'SAS', 'SQL', 'Tableau']","c_1448"
"24_3f0d5695925aa6ba","Environmental Data Manager/Data Scientist (Associate Level)","<80000","data_scientist","['Microsoft SQL Server', 'Data Management', 'Power BI', 'CAD Software', 'SQL', 'Microsoft Access', 'SharePoint', 'ArcGIS']","c_740"
"25_9e215d88a6b33622","Sr. Data Scientist - Secret","<80000","data_scientist","['Data Mining', 'R', 'Python']","c_617"
"26_ef34ff29d760a6f2","innovation Ochsner - iO - Data Scientist - Benson Tower","<80000","data_scientist","['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']","c_1455"
"27_a5b4499d9e91a5c6","Google AI Resident, 2019 Start (Fixed-Term Employee)","<80000","data_scientist","","c_903"
"28_26727f1861532c63","Data Analysis & Machine Learning Postdoctoral Researcher","<80000","data_scientist","['TensorFlow', 'Machine Learning', 'Git', 'Python', 'SVN']","c_1178"
"29_f89deb5a97c7738a","Applied Machine Learning Scientist - Digital Imaging","<80000","data_scientist","['TensorFlow', 'JavaScript', 'React', 'Data Mining', 'Adobe Photoshop', 'Machine Learning', 'CSS', 'HTML5']","c_50"
